Categoria,Nome do Produto,Arquivo esperado (colocar em sg-bichos/images/produtos/)
petiscos-secos,CAIXA BEEFLEX DE CARNE 70G C/20 Un,PRD00117.jpg
petiscos-secos,CAIXA C/ 10UN DE CHIPS PULMÃO BRUPET,PRD00146.jpg
petiscos-secos,CAIXA C/ 20Un DE PALITO FLEXÍVEL - BACON,PRD00124.jpg
petiscos-secos,CAIXA C/ 20Un. DE PALITO FLEXÍVEL - LEITE - Brupet,PRD00125.jpg
petiscos-secos,CAIXA C/ 4 DE PALITO 605 - 1KG,PRD00055.jpg
petiscos-secos,CAIXA C/20 Un. DE PALITO FLEXÍVEL - MENTA,PRD00051.jpg
petiscos-secos,CAIXA C/4 UN PALITO 805 1KG - Brupet,PRD00147.jpg
petiscos-secos,CAIXA DE BIFINHO SABOR CARNE 800g  c/5 Un - BRUPET,PRD00067.jpg
petiscos-secos,CAIXA DE BIFINHO SABOR FRANGO 400g  c/10 Un.- BRUPET,PRD00063.jpg
petiscos-secos,CAIXA DE BIFINHO SABOR FRANGO 50g c/ 20Un.- BRUPET,PRD00057.jpg
petiscos-secos,CAIXA DE BIFINHO SABOR FRANGO 800g c/5un. - BRUPET,PRD00066.jpg
petiscos-secos,CAIXA DE BIFINHOS DE CARNE 400g  C/10Un.- BRUPET,PRD00061.jpg
petiscos-secos,CAIXA DE BIFINHOS DE CARNE 50g c/ 20Un.- BRUPET,PRD00059.jpg
petiscos-secos,CAIXA DE CASCO BOVINO 15Un. - BRUPET,PRD00047.jpg
petiscos-secos,CAIXA DE PALITO 805 C/ 9 UN. CX C/20 PCT,PRD00049.jpg
petiscos-secos,CAIXA DE PÉ DE FRANGO 10un - BRUPET,PRD00045.jpg
petiscos-secos,CAIXA ORELHA DESIDRATADA BOVINA c/ 8un.,SG0027.jpg
petiscos-secos,CAIXA ORELHA DESIDRATADA DE SUINO C/ 8Un. - BRUPET,SG0026.jpg
petiscos-secos,CAIXA OSSO DESIDRATADO FEMUR SUINO C/15Un.,SG0029.jpg
petiscos-secos,CAIXA OSSO DESIDRATADO MEIO FEMUR SUINO C/30 Un.,PRD00154.jpg
petiscos-secos,CAIXA c/20 UN. DE MEIO CHIFRE BOVINO,PRD00053.jpg
higiene-e-limpeza,COLONIA PET ANGEL 480ML,PRD00029.jpg
higiene-e-limpeza,COLONIA PET HIPO PELES SENSIVEIS 250 ML,PA0011.jpg
higiene-e-limpeza,COLONIA PET INVICTOS  480ML,PRD00028.jpg
higiene-e-limpeza,COLONIA PET UNISSEX 250 ML,PA0010.jpg
petiscos-secos,Caixa Traqueia - Brupet c/ 1 un e cx com 10Un..,PRD00145.jpg
petiscos-secos,Caixa Traqueia - Brupet c/ 2 un. Cx c/ 10 Un,PRD00152.jpg
higiene-e-limpeza,DERMO ACELERADOR DE SECAGEM SPRAY 500 ML,PA0009.jpg
higiene-e-limpeza,DERMO CAUTERIZADOR HIDRATANTE SPRAY 500ML,PRD00034.jpg
higiene-e-limpeza,DERMO CONDICIONADOR RESTAURADOR 1000 ML,PA0007.jpg
higiene-e-limpeza,DERMO CONDICIONADOR RESTAURADOR 5000 ML,PA0008.jpg
higiene-e-limpeza,DERMO DESEMBARACANTE SPRAY 500 ML,PA0001.jpg
higiene-e-limpeza,DERMO FINALIZADOR BRILHO INTENSO SPRAY 500ml,PA0017.jpg
higiene-e-limpeza,DERMO LIMPEZA DE OUVIDOS 500 ML,PA0002.jpg
higiene-e-limpeza,DERMO MASCARA HIDRATANTE  1000ML,PRD00023.jpg
higiene-e-limpeza,DERMO SHAMPOO  ILUMINADOR  DE PELOS 1000ML,PRD00026.jpg
higiene-e-limpeza,DERMO SHAMPOO ANTIRESIDUO 1000ML,PRD00025.jpg
higiene-e-limpeza,DERMO SHAMPOO ILUMINADOR DE PELOS  5LT,PRD00027.jpg
higiene-e-limpeza,DERMO SHAMPOO NEUTRALIZADOR DE ODORES 1000 ML,PA0003.jpg
higiene-e-limpeza,DERMO SHAMPOO NEUTRALIZADOR DE ODORES 5000 ML,PA0004.jpg
higiene-e-limpeza,DERMO SHAMPOO NEUTRO HIDRATANTE 1000 ML,PA0005.jpg
higiene-e-limpeza,DERMO SHAMPOO NEUTRO HIDRATANTE 5000 ML,PA0006.jpg
racao-seca,LIFE ESPECIAL FILHOTE 10 kg,PRD00164.jpg
racao-seca,LIFE ESPECIAL GATO ADULTO 10;1kg,PRD00163.jpg
racao-seca,LIFE ESPECIAL GATO CASTRADO  kg,PRD00162.jpg
racao-seca,LIFE ESPECIAL MEDIAS E GRANDES 15kg,PRD00166.jpg
racao-seca,LIFE ESPECIAL PEQUENAS RAÇAS 10;1kg,PRD00165.jpg
petiscos-secos,ORELHA DESIDRATADA DE BOVINO,SG0009.jpg
petiscos-secos,ORELHA DESIDRATADA DE SUINO UNIDADE - BRUPET,SG0008.jpg
petiscos-secos,OSSO DESIDRATADO DE BOVINO,SG0007.jpg
petiscos-secos,OSSO DESIDRATADO DE BOVINO - COSTELA BOVINA Cx c/8Un.,SG0025.jpg
petiscos-secos,OSSO DESIDRATADO FEMUR SUINO,SG0001.jpg
